FAMILY=         1 -  YEAR=2000 MONTH=  1 DAY=  1 HOUR= 0.00 FIRST MEMBER=   1 CLASSIF=NDS
 SYS#     XLAT    XLON   TIME   SIZE    DSIZE    PMED  DPMED     PMAX   DPMAX   PMAX9  DPMAX9  FRAC    VEL  DIR  T_INI CLA  SYS_ANT
    1     3.78  -79.92   0.00    178   -999.9     3.6  -999.9    13.2  -999.9     6.8  -999.9  0.26     0.0 -999   0.00 N    0
    1     3.71  -80.00   0.50    167    -35.4     3.8     0.3    12.8    -0.8     6.6    -0.4  0.22    22.8  314   0.50 C    1
    1     3.64  -80.07   1.00    177     32.3     3.6    -0.3    12.3    -1.0     6.3    -0.6  0.18    22.8  314   1.00 C    1
    1     3.57  -80.21   1.50    185     24.6     3.5    -0.3    11.7    -1.2     5.3    -2.0  0.16    36.1  296   1.50 C    1
    1     3.49  -80.29   2.00    193     23.5     3.3    -0.3    10.9    -1.6     6.0     1.4  0.13    22.8  314   2.00 C    1
    1     3.42  -80.43   2.50    201     22.6     3.2    -0.3    10.5    -0.8     5.2    -1.6  0.11    36.1  296   2.50 C    1
    1     3.35  -80.51   3.00    210     24.3     3.0    -0.4     9.8    -1.4     4.9    -0.6  0.10    22.8  314   3.00 C    1
    1     3.27  -80.58   3.50    218     20.8     2.8    -0.3     9.2    -1.2     5.1     0.3  0.09    22.8  314   3.50 C    1
    1     3.20  -80.72   4.00    228     24.9     2.7    -0.3     8.6    -1.2     4.4    -1.4  0.08    36.1  296   4.00 C    1
    1     3.13  -80.80   4.50    224     -9.8     2.6    -0.2     8.0    -1.2     4.5     0.2  0.05    22.8  314   4.50 C    1
    1     3.06  -80.87   5.00    225      2.5     2.5    -0.2     7.7    -0.6     3.9    -1.1  0.02    22.8  314   5.00 C    1
    1     2.98  -80.94   5.50    213    -30.4     2.4    -0.2     7.1    -1.2     3.9     0.0  0.01    22.8  314   5.50 C    1
    1     2.91  -81.01   6.00    195    -49.0     2.3    -0.2     6.5    -1.2     3.6    -0.6  0.01    22.8  314   6.00 C    1
    1     2.77  -81.09   6.50    175    -60.1     2.2    -0.1     6.0    -1.0     3.4    -0.5  0.01    36.1  333   6.50 C    1
    1     2.69  -81.23   7.00    155    -67.3     2.1    -0.2     5.6    -0.8     3.1    -0.5  0.01    36.1  296   7.00 C    1
    1     2.62  -81.31   7.50    131    -93.2     2.1    -0.2     5.1    -1.0     2.6    -1.0  0.02    22.8  314   7.50 C    1
    1     2.47  -81.31   8.00    114    -77.1     1.9    -0.3     4.5    -1.2     3.3     1.4  0.00    32.2    0   8.00 C    1
    1     2.40  -81.45   8.50    100    -72.7     1.8    -0.3     4.0    -1.0     2.7    -1.3  0.00    35.9  296   8.50 C    1
    1     2.26  -81.45   9.00     77   -144.4     1.7    -0.2     3.3    -1.4     1.9    -1.6  0.00    32.1    0   9.00 C    1
    1     2.18  -81.52   9.50     63   -111.1     1.6    -0.1     3.0    -0.6     1.7    -0.3  0.00    22.5  314   9.50 C    1
    1     2.11  -81.60  10.00     49   -138.9     1.5    -0.2     2.8    -0.4     1.6    -0.3  0.00    22.3  314  10.00 C    1
TOTAL TIME=10.00   DELTAX -1.68   DELTAY -1.67   LAST IMAGE= R   END=NOR


FAMILY=         2 -  YEAR=2000 MONTH=  1 DAY=  1 HOUR= 0.00 FIRST MEMBER=   2 CLASSIF=NDS
 SYS#     XLAT    XLON   TIME   SIZE    DSIZE    PMED  DPMED     PMAX   DPMAX   PMAX9  DPMAX9  FRAC    VEL  DIR  T_INI CLA  SYS_ANT
    2     8.08  -80.07   0.00     41   -999.9     2.3  -999.9    10.8  -999.9     5.1  -999.9  0.10     0.0 -999   0.00 N    0
    2     7.93  -80.14   0.50     49     98.8     2.4     0.2    15.0     8.4     6.4     2.6  0.12    36.0  333   0.50 C    2
    2     7.86  -80.43   1.00     96    360.2     1.8    -1.3    14.0    -2.0     6.3    -0.2  0.06    66.4  284   1.00 C    2
    2     7.86  -80.51   1.50    140    207.2     1.5    -0.5    14.0     0.0     6.3     0.0  0.04    16.1  270   1.50 C    2
    2     7.79  -80.58   2.00    157     63.6     1.5    -0.0    13.0    -2.0     6.1    -0.4  0.04    22.8  314   2.00 C    2
    2     7.71  -80.65   2.50    173     53.9     1.5    -0.0    13.0     0.0     5.9    -0.4  0.03    22.8  314   2.50 C    2
    2     7.64  -80.65   3.00    194     63.6     1.6     0.2    12.0    -2.0     5.4    -0.9  0.03    16.1    0   3.00 C    2
    2     7.64  -80.72   3.50    202     22.4     1.7     0.1    12.0     0.0     4.9    -1.2  0.02    16.1  270   3.50 C    2
    2     7.57  -80.80   4.00    205      8.2     1.7     0.1     7.3    -9.4     3.4    -2.9  0.01    22.8  314   4.00 C    2
    2     7.42  -80.94   4.50    227     56.6     2.2     0.9    11.0     7.4     5.0     3.1  0.02    45.5  314   4.50 C    2
    2     7.35  -80.87   5.00    223     -9.9     2.2     0.0    11.0     0.0     5.0     0.1  0.03    22.8   45   5.00 C    2
    2     7.35  -80.94   5.50    201    -57.7     2.1    -0.2    10.0    -2.0     3.9    -2.3  0.01    16.1  270   5.50 C    2
    2     7.28  -80.94   6.00    181    -58.2     2.0    -0.2     4.0   -12.0     3.2    -1.3  0.00    16.1    0   6.00 C    2
    2     7.20  -80.87   6.50    154    -89.6     1.8    -0.3     4.0     0.0     3.2     0.0  0.00    22.8   45   6.50 C    2
    2     7.13  -80.94   7.00    137    -64.9     1.7    -0.4     4.0     0.0     3.2     0.0  0.00    22.8  314   7.00 C    2
